Epoch,Training Loss,Validation Loss,Average BPM Error,Max BPM Error,Min BPM Error,Learning Rate,Gradient Norm
1,15939.14404296875,13783.3134765625,112.54717,172.30357,69.87536,0.0003,1.4142135048458453
2,15812.537109375,13781.6455078125,112.53973,172.2965,69.868286,0.0003,1.4142135911669853
3,16041.576171875,13780.01171875,112.532425,172.28946,69.86126,0.0003,1.4142135468597403
4,15893.50537109375,13778.044921875,112.52369,172.28088,69.852684,0.0003,1.41421362199463
5,16048.53076171875,13775.810546875,112.51383,172.27037,69.84216,0.0003,1.4142135322195846
6,16006.01123046875,13773.0830078125,112.50176,172.2575,69.8293,0.0003,1.414213653320199
7,15966.2783203125,13769.76953125,112.48694,172.2438,69.8156,0.0003,1.414213547602733
8,15970.9970703125,13765.0810546875,112.46603,172.22359,69.79539,0.0003,1.4142135098077693
9,16048.4169921875,13758.076171875,112.43495,172.19173,69.76352,0.0003,1.4142136488264259
10,15928.873046875,13747.6572265625,112.38878,172.14369,69.71548,0.0003,1.414213511146586
11,15978.41015625,13730.728515625,112.31339,172.06886,69.640656,0.0003,1.4142135819512462
12,15739.6962890625,13703.865234375,112.19391,171.94739,69.519196,0.0003,1.4142135161710376
13,15827.50390625,13664.5498046875,112.019325,171.76395,69.33578,0.0003,1.414213579743159
14,15893.90380859375,13609.5146484375,111.77501,171.5007,69.07258,0.0003,1.4142135802216576
15,15783.06640625,13537.3798828125,111.45422,171.15213,68.72397,0.0003,1.4142136059704917
16,15606.3779296875,13445.970703125,111.04708,170.70166,68.27347,0.0003,1.4142136157975178
17,15563.54052734375,13339.419921875,110.57125,170.16765,67.73948,0.0003,1.4142134682929504
18,15418.56298828125,13218.8818359375,110.031296,169.55176,67.12357,0.0003,1.4142136471514741
19,15333.05908203125,13083.576171875,109.422676,168.84921,66.421005,0.0003,1.4142136143527342
20,15304.76171875,12933.66015625,108.74494,168.05928,65.63107,0.0003,1.4142135891464402
21,15008.6728515625,12765.5869140625,107.980576,167.16136,64.733154,0.0003,1.4142136120891406
22,14706.9384765625,12577.4970703125,107.1189,166.14554,63.717327,0.0003,1.4142135956611712
23,14735.67626953125,12367.9951171875,106.15133,164.9978,62.569595,0.0003,1.4142136022916132
24,14384.42529296875,12136.5966796875,105.07258,163.7116,61.28339,0.0003,1.4142135673050198
25,14018.08642578125,11882.5439453125,103.875435,162.27937,59.851166,0.0003,1.4142135113082268
26,13648.8037109375,11605.419921875,102.55349,160.69504,58.266827,0.0003,1.4142135733012038
27,13718.8427734375,11304.3681640625,101.09791,158.94266,56.514458,0.0003,1.414213614143132
28,12956.10009765625,10978.98046875,99.50032,157.01643,54.588226,0.0003,1.4142135193746337
29,12676.80517578125,10628.7294921875,97.75033,154.91171,52.4835,0.0003,1.4142136014491107
30,12518.44873046875,10253.76171875,95.84075,152.61092,50.182716,0.0003,1.4142135347583575
31,12548.3642578125,9850.68359375,93.744675,150.06613,47.637917,0.0003,1.4142135767284578
32,11448.59130859375,9422.37890625,91.463264,147.29338,44.865173,0.0003,1.414213553233902
33,11342.18115234375,8970.4814453125,88.99032,144.294,41.865803,0.0003,1.4142135755926972
34,10848.07568359375,8495.2861328125,86.31101,141.04272,38.614517,0.0003,1.4142135314257613
35,9528.27001953125,7999.05615234375,83.419174,137.50922,35.081017,0.0003,1.414213539483785
36,9338.32568359375,7483.82958984375,80.30193,133.70538,31.27718,0.0003,1.4142136037514341
37,9208.9208984375,6951.70458984375,76.94391,129.6271,27.198898,0.0003,1.4142136090666682
38,8302.76025390625,6403.42529296875,73.314865,125.29723,22.869026,0.0003,1.4142136119611743
39,7777.80224609375,5846.318359375,69.426384,120.68082,18.252613,0.0003,1.4142136608755411
40,6757.10986328125,5284.3896484375,65.2618,115.775406,13.347195,0.0003,1.4142135341495878
41,6657.98291015625,4722.81103515625,60.806355,110.554726,8.126518,0.0003,1.4142135190893592
42,5956.66943359375,4169.81396484375,56.06351,105.040146,2.611946,0.0003,1.4142134816891496
43,5666.872314453125,3630.3837890625,51.464092,99.18826,3.2399445,0.0003,1.4142135473411932
44,4822.0322265625,3110.99853515625,46.92517,93.08283,4.1715317,0.0003,1.4142135956884783
45,4305.7470703125,2625.79638671875,42.418484,86.746895,2.1643982,0.0003,1.4142136395534641
46,3759.7862548828125,2182.630615234375,38.248226,80.08418,3.5216827,0.0003,1.4142136332385757
47,3386.8099365234375,1795.7969970703125,34.317547,73.16507,3.3974457,0.0003,1.4142135803361047
48,2746.4541015625,1476.6605224609375,30.653637,66.048485,5.460449,0.0003,1.414213570971406
49,2495.57958984375,1239.84765625,26.964289,58.865334,1.2489166,0.0003,1.4142135733515266
50,1945.6163330078125,1096.2398681640625,26.00121,51.73577,3.0760193,0.0003,1.4142135760415255
51,2457.9876708984375,1050.0552978515625,27.329174,57.467537,2.3554153,0.0003,1.4142135643364708
