Epoch,Training_Loss,Validation_Loss,Avg_BPM_Error,Max_BPM_Error,Learning_Rate
1,15868.430541992188,14197.54296875,115.06841,184.53226,0.0005
2,15152.107421875,14124.01953125,114.74207,184.25623,0.0005
3,14708.836791992188,13497.7978515625,111.91518,181.91553,0.0005
4,15029.044799804688,11815.337890625,103.94297,175.16066,0.0005
5,12013.8232421875,8208.330078125,84.20677,158.4,0.0005
6,6578.17903137207,3014.81884765625,41.497124,119.78407,0.0005
7,2889.969207763672,1600.1544189453125,35.4484,55.62465,0.0005
8,2832.277297973633,1486.14208984375,35.625607,62.52237,0.0005
9,2174.3271713256836,905.397216796875,20.355667,69.530075,0.0005
10,2667.5933380126953,1116.9969482421875,23.075502,77.51251,0.0005
11,2243.444511413574,770.0731201171875,22.647432,59.855743,0.0005
12,2335.047653198242,922.4588012695312,27.350918,49.692993,0.0005
13,1833.4151611328125,876.7002563476562,26.313034,54.82138,0.0005
14,1789.0083694458008,867.8701782226562,23.288097,66.838554,0.0005
15,1757.1041717529297,932.0225830078125,22.97752,73.0381,0.0005
16,1736.5473327636719,917.34619140625,26.187107,61.68142,0.0005
17,2343.9032592773438,856.695068359375,24.866934,61.33937,0.0005
18,1746.7960739135742,829.9030151367188,22.154938,66.854904,0.00025
19,1691.344841003418,851.4276123046875,21.419836,69.51695,0.00025
20,2285.757553100586,803.2344360351562,22.145712,64.7677,0.00025
21,1393.7525100708008,811.946044921875,21.396193,66.46015,0.00025
22,1589.6889953613281,788.0338134765625,22.15504,63.33074,0.00025
23,1470.1531600952148,794.319580078125,22.321218,63.588875,0.00025
24,1874.6359939575195,790.2362670898438,22.766768,61.935417,0.000125
25,1840.6651911735535,788.5926513671875,22.478662,62.62867,0.000125
