Epoch,Training Loss,Validation Loss,Average BPM Error,Max BPM Error,Learning Rate
1,15626.62548828125,16182.64453125,123.34818,184.48973,0.001
2,15710.8759765625,16175.654296875,123.319756,184.46451,0.001
3,15672.9306640625,16159.3623046875,123.25347,184.40591,0.001
4,15576.5849609375,16114.2236328125,123.07001,184.23152,0.001
5,15580.69482421875,15983.947265625,122.539055,183.7188,0.001
6,15350.31689453125,15680.33984375,121.292786,182.51308,0.001
7,14961.04052734375,15182.4326171875,119.22115,180.49234,0.001
8,14684.654296875,14506.30859375,116.34985,177.66045,0.001
9,13747.12646484375,13540.576171875,112.12061,173.50546,0.001
10,12610.39697265625,12213.8935546875,106.03515,167.54333,0.001
11,11323.60595703125,10456.802734375,97.39062,159.08765,0.001
12,9993.6982421875,8246.021484375,85.276566,147.23053,0.001
13,7595.37255859375,5677.1064453125,68.55711,130.87027,0.001
14,5481.15380859375,3105.5888671875,46.096478,108.80148,0.001
15,4326.2779541015625,1284.8763427734375,31.944073,80.45948,0.001
16,3304.4759521484375,1089.4752197265625,26.080109,56.188828,0.001
17,5415.940185546875,1247.6607666015625,25.773102,64.01843,0.001
18,4884.263427734375,984.9083862304688,26.871338,55.08185,0.001
19,3165.7825927734375,1062.880126953125,29.308014,69.06666,0.001
20,2938.6429443359375,1524.239990234375,33.063137,81.78175,0.001
21,2501.515869140625,2036.954833984375,36.88548,90.229965,0.001
22,3016.319580078125,2352.909423828125,40.040997,94.07918,0.001
23,3515.5457763671875,2400.82763671875,40.690273,93.93168,0.001
24,3389.4208984375,2216.47314453125,39.083622,90.59276,0.001
25,4221.527099609375,2033.614013671875,37.2665,87.41806,0.0005
